,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
95,11145475,8420,69000,apartment,1959.0,,35.0,,0.0,,,,,,Good,669.0,Electric,Non flood zone,Yes,354.0
96,20402874,8420,419000,house,2025.0,3.0,165.0,,,,,,,,Good,,,,,
97,20402875,8420,399000,house,2025.0,3.0,165.0,,,,,,,,Good,,,,,
98,20402873,8420,419000,house,2025.0,3.0,165.0,,,,,,,,Good,,,,,
99,11465106,8560,137000,house,,3.0,,,,,,,,,To renovate,368.0,,Non flood zone,Yes,
100,20402847,8380,265000,apartment,2001.0,1.0,77.0,,1.0,,,,2.0,,Good,244.0,,Non flood zone,Yes,647.0
101,20402846,3040,425000,house,1950.0,4.0,232.0,,,,,,3.0,,Good,315.0,Gas,Non flood zone,Yes,617.0
102,20402510,2520,295000,apartment,2013.0,2.0,110.0,Installed,,,6.0,,2.0,,Good,105.0,Gas,Non flood zone,Yes,1086.0
103,20401547,2000,319000,apartment,1955.0,1.0,85.0,Installed,,,,,2.0,,As new,355.0,Gas,Non flood zone,Yes,548.0
104,20400089,8710,259000,house,1930.0,3.0,223.0,Installed,,,,104.0,,,Good,259.0,Gas,Non flood zone,Yes,322.0
105,20401856,7860,279500,house,,3.0,180.0,Installed,,,35.0,300.0,2.0,,To be done up,285.0,Gas,Non flood zone,Yes,562.0
106,20397633,9200,278000,apartment,1974.0,2.0,165.0,Installed,,,30.0,30.0,4.0,,Good,224.0,Gas,Non flood zone,Yes,
107,20400653,2880,359000,house,1958.0,3.0,171.0,Installed,,,20.0,,,,To be done up,858.0,,Non flood zone,Yes,752.0
108,20400192,9170,525000,house,1993.0,3.0,286.0,Hyper equipped,,,14.0,728.0,4.0,,Good,337.0,,Non flood zone,Yes,1618.0
109,20394068,1000,210000,apartment,2013.0,1.0,59.0,Installed,1.0,,3.0,,2.0,,Good,234.0,Electric,Possible flood zone,Yes,920.0
110,20394202,2300,299000,apartment,2006.0,3.0,114.0,Semi equipped,,,4.0,,,,Good,147.0,Gas,Non flood zone,Yes,
111,20402255,6800,235000,house,1900.0,3.0,156.0,Semi equipped,0.0,,,587.0,4.0,0.0,Good,430.0,Fuel oil,Non flood zone,Yes,718.0
112,20401805,3300,339000,house,1952.0,3.0,161.0,1,,,,280.0,2.0,,As new,250.0,Gas,Non flood zone,Yes,652.0
114,20397657,2570,565000,house,1953.0,3.0,200.0,Installed,,,50.0,760.0,,,Just renovated,148.0,Gas,Non flood zone,Yes,1297.0
115,20400913,9308,239000,apartment,1980.0,2.0,92.0,Installed,,,,,2.0,,Good,134.0,Gas,Non flood zone,,733.0
116,20399303,2850,245000,apartment,1996.0,2.0,115.0,Semi equipped,,,,,2.0,,Good,250.0,Gas,Non flood zone,Yes,723.0
117,20399186,4690,119000,house,1918.0,2.0,74.0,Not installed,0.0,,72.0,580.0,3.0,0.0,To renovate,987.0,,Non flood zone,Yes,255.0
118,20401126,2800,398000,house,1899.0,3.0,119.0,Installed,,,7.0,54.0,2.0,,Good,390.0,Gas,Non flood zone,Yes,543.0
119,20398884,9890,647000,house,2011.0,4.0,212.0,,0.0,,39.0,,3.0,,Good,3.0,,Non flood zone,Yes,741.0
121,20397124,8370,199000,apartment,2004.0,1.0,55.0,Installed,,,,,,,Good,123.0,Gas,Non flood zone,Yes,710.0
122,20393997,1060,265000,apartment,1960.0,2.0,63.0,Not installed,,,,,2.0,0.0,Just renovated,419.0,,Non flood zone,,
123,20397881,9700,255000,house,1940.0,4.0,182.0,1,0.0,,,,2.0,,Good,493.0,Gas,Non flood zone,Yes,535.0
124,20402845,8870,315000,house,2012.0,3.0,,,,,,,3.0,,Good,80.0,,Non flood zone,No,642.0
125,20402842,4800,145000,house,,5.0,171.0,Installed,0.0,,,,2.0,0.0,To be done up,343.0,Gas,Non flood zone,,786.0
126,20402841,6040,120000,house,,3.0,,,,,,,4.0,,To renovate,954.0,,,,
127,20402839,8920,265000,house,1965.0,4.0,218.0,,,,,,4.0,,Good,437.0,,Non flood zone,No,
128,20402837,8300,1100000,apartment,1979.0,3.0,94.0,Hyper equipped,0.0,,4.0,,2.0,,To be done up,167.0,Gas,Non flood zone,Yes,
129,20402836,2845,269000,house,1966.0,3.0,124.0,Installed,0.0,,,,2.0,,Good,280.0,Gas,,Yes,474.0
130,20402835,2050,435000,house,2016.0,3.0,120.0,,,,,60.0,3.0,,As new,121.0,Gas,Non flood zone,Yes,
131,20402826,8300,995000,apartment,,3.0,95.0,,,,,,2.0,,As new,,Gas,,Yes,
132,20402824,9040,469000,house,1899.0,3.0,167.0,Installed,0.0,,,45.0,2.0,,As new,173.0,Gas,Non flood zone,Yes,689.0
133,20402825,9800,456000,house,2025.0,4.0,217.0,Hyper equipped,0.0,,,,3.0,0.0,As new,,,Non flood zone,Yes,
134,20402820,9800,446000,house,2025.0,4.0,170.0,Hyper equipped,0.0,,,,3.0,0.0,As new,,,Non flood zone,Yes,
135,20402816,9800,445000,house,2025.0,4.0,217.0,Hyper equipped,0.0,,,,3.0,0.0,As new,,,Non flood zone,Yes,
136,20402815,9052,429172,apartment,2024.0,2.0,100.0,Hyper equipped,0.0,,12.0,,3.0,0.0,,,,Non flood zone,Yes,
137,20402838,9090,477000,house,2024.0,4.0,182.0,Hyper equipped,0.0,,,,3.0,,,,,Non flood zone,Yes,
138,20402813,9800,435000,house,2025.0,4.0,170.0,Hyper equipped,0.0,,,,3.0,0.0,As new,,,Non flood zone,Yes,
139,20402812,1997,838000,apartment,2024.0,2.0,98.0,Hyper equipped,0.0,,,,4.0,0.0,As new,,,,,
140,20402810,9800,437000,house,2025.0,4.0,170.0,Hyper equipped,0.0,,,,3.0,0.0,As new,,,Non flood zone,Yes,
