Property ID,Locality name,Postal code,price,Type of property,Subtype of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
20403218,Huizingen,1654,339000,house,,1933,3,202,130,Semi equipped,,1,,25,East,3,,To be done up,E,498,Fuel oil,Non flood zone,,
20402994,Sint-katherina-lombeek,1742,598000,house,,1962,3,592,180,Installed,,,,,,3,,Good,B,101,,Non flood zone,Yes,1245
20403073,Sint-truiden,3800,239000,apartment,,2009,2,,85,Installed,,,,,,,,Good,B,106,Gas,Non flood zone,Yes,806
20403071,Brasschaat,2930,565000,apartment,,2002,2,,141,Hyper equipped,0,,75,,,3,,Good,D,356,,Non flood zone,Yes,
20403066,De%20haan,8420,395000,apartment,,1990,2,,80,Installed,,,,,,,,Just renovated,F,511,Electric,,Yes,
20403065,Haaltert,9450,209000,apartment,,2005,2,,100,Semi equipped,0,,,,,2,0,Good,B,124,Gas,,Yes,745
20082108,Scherpenheuvel-zichem,3270,354667,house,,,3,450,160,,,,,,,,,,Not specified,,,Non flood zone,,
20403059,Binche,7130,349000,apartment,,2010,6,,,,,,,,,3,0,Good,D,278,Gas,,Yes,
11247980,Linter,3350,365338,house,,,3,800,162,,,,,,,,,,Not specified,,,Non flood zone,,
11247979,Wijgmaal,3018,438737,house,,,3,517,180,,,,,,,,,,Not specified,,,Non flood zone,,
20403055,Herk-de-stad,3540,565000,house,,1973,,1247,234,,,,,,,4,,As new,C,,Electric,Non flood zone,Yes,1115
20403052,Arlon,6700,165000,apartment,,1992,1,,42,1,,,,,,2,,Good,G,770,Electric,,Yes,602
20403049,Antwerpen,2020,275000,apartment,,,3,,120,Installed,,,,,,2,,Good,C,238,Gas,,Yes,949
20403041,Hasselt,3500,520000,apartment,,2024,3,,164,1,,,,,,,,,A,27,,,Yes,
20403031,Sint-niklaas,9100,185000,apartment,,1969,2,,91,Not installed,,,10,,,,,Good,B,144,Gas,Non flood zone,,768
20403030,Schilde,2970,645000,house,,2024,3,7700,150,Hyper equipped,,,30,50,West,,0,As new,A++,,,Non flood zone,Yes,
20403027,Seraing,4100,299000,house,,,4,312,180,Installed,,,30,100,West,4,0,Good,D,263,Gas,,Yes,427
20403024,Li%c3%a8ge,4020,129000,house,,1930,4,,,,,,,1,,3,,To renovate,G,773,Electric,,No,604
20403023,Hotton,6990,595000,house,,1992,4,3291,243,Installed,0,,150,3291,,4,1,As new,C,175,Fuel oil,Non flood zone,Yes,1925
20247963,Roosdaal,1760,545000,house,,1950,3,13925,203,Hyper equipped,0,,47,,,3,0,As new,C,268,,Possible flood zone,Yes,
20403020,Geraardsbergen,9500,329000,house,,1966,4,516,210,Hyper equipped,0,,80,300,,2,,,C,296,Gas,,Yes,607
20403018,Knokke-heist,8300,2995000,apartment,,1985,4,,154,Hyper equipped,0,,,,,3,0,As new,B,144,Gas,Non flood zone,,2610
20397657,Duffel,2570,565000,house,,1953,3,1242,200,Installed,,,50,760,South East,,,Just renovated,B,148,Gas,Non flood zone,Yes,1297
20400913,Hofstade,9308,239000,apartment,,1980,2,,92,Installed,,,,,,2,,Good,B,134,Gas,Non flood zone,,733
20399303,Boom,2850,245000,apartment,,1996,2,,115,Semi equipped,,,,,,2,,Good,C,250,Gas,Non flood zone,Yes,723
20401126,Mechelen,2800,398000,house,,1899,3,91,119,Installed,,,7,54,North East,2,,Good,D,390,Gas,Non flood zone,Yes,543
20398884,Gavere,9890,647000,house,,2011,4,515,212,,0,,39,,,3,,Good,A,3,,Non flood zone,Yes,741
20402975,Lede,9340,895000,house,,1919,3,1700,318,Hyper equipped,,,,,,4,,Good,E,,Gas,Non flood zone,,986
20397124,Blankenberge,8370,199000,apartment,,2004,1,,55,Installed,,,,,,,,Good,B,123,Gas,Non flood zone,Yes,710
20393997,Saint-gilles,1060,265000,apartment,,1960,2,,63,Not installed,,,,,,2,0,Just renovated,G,419,,Non flood zone,,
20397881,Oudenaarde,9700,255000,house,,1940,4,750,182,1,0,,,,,2,,Good,E,493,Gas,Non flood zone,Yes,535
20401996,Denderleeuw,9470,195000,apartment,,2017,1,,64,Installed,,,,,,,,Good,A,,Gas,Non flood zone,Yes,778
20402659,De-haan,8420,249000,apartment,,1995,2,,76,Installed,0,,,,,,,To be done up,E,417,Electric,Non flood zone,Yes,823
20401148,De-haan,8420,274000,apartment,,2014,2,,69,Hyper equipped,,,,,,,,Good,A,96,Gas,Non flood zone,Yes,821
20402046,Knokke,8300,1295000,apartment,,1997,2,,76,Hyper equipped,,,,,,4,,As new,C,282,Gas,Non flood zone,Yes,
20402453,Vaux-sur-sure-juseret,6640,419000,house,,1900,2,967,143,Installed,0,,35,600,,4,0,As new,D,265,Fuel oil,Non flood zone,Yes,630
20399652,Dendermonde,9200,215000,apartment,,1992,1,,84,Installed,,,4,,,2,,Good,B,116,Gas,Non flood zone,Yes,875
20399640,Antwerpen,2610,249900,apartment,,1960,2,,80,Semi equipped,,,11,,,2,,To be done up,B,117,Gas,Non flood zone,Yes,
20398723,Arlon,6700,325000,apartment,,2012,2,,89,Installed,,,6,,,3,,Good,B,118,Gas,,Yes,1226
20401805,Tienen,3300,339000,house,,1952,3,452,161,1,,,,280,South,2,,As new,C,250,Gas,Non flood zone,Yes,652
20400673,Sint-martens-latem,9830,815000,house,,1973,3,1163,171,Installed,0,,26,1010,,4,0,To be done up,F,646,Fuel oil,Non flood zone,Yes,1975
20401141,Boortmeerbeek,3190,845000,house,,1918,4,4853,464,Installed,,,28,4350,,4,,Good,D,376,Gas,Non flood zone,Yes,2056
20403016,Seraing,4100,199000,house,,,4,124,,Installed,,,,65,South West,2,0,Good,D,278,Gas,Non flood zone,Yes,489
20403015,Spa,4900,165000,house,,,,,224,,,,,,,,,,F,,,,,
20403014,Herentals,2200,239000,apartment,,2016,1,,53,Installed,,,30,,,2,,,A,39,,Non flood zone,Yes,
10101807,Kain,7540,250000,house,,2020,3,537,193,,,,,,,3,,To restore,Not specified,,,,Yes,
20403012,Zoutleeuw,3440,639000,apartment,,,2,,192,Hyper equipped,0,,90,90,,2,0,Just renovated,Not specified,,Gas,Non flood zone,Yes,
20403011,Beauraing,5570,299000,house,,2023,3,492,160,Installed,,,1,1,,3,,As new,A,,Gas,,Yes,
20221908,Laakdal,2430,415000,house,,2024,4,386,233,Hyper equipped,0,,,,,3,,As new,A,24,,Non flood zone,Yes,
20402999,Stabroek,2940,799000,house,,1976,5,,228,Installed,,,,,,4,,Good,B,176,Gas,Non flood zone,Yes,1965
20402997,Merchtem,1785,295000,apartment,,2013,2,,79,Installed,,,,,,,,Good,A,69,Gas,,Yes,833
20402256,Hoboken,2660,325000,house,,,2,,175,Installed,,,11,82,South West,,,Good,C,258,Gas,,Yes,763
20402996,Bornem,2880,245000,house,,1954,4,217,146,Semi equipped,,,,,,2,,To be done up,D,322,Gas,Non flood zone,Yes,678
20402995,Aalst,9300,295000,house,,,4,,218,,,,,,,2,,,C,300,Gas,Non flood zone,,
