,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
147,20402045,9100,315000,apartment,1965.0,3.0,145.0,,0.0,,,,,,Good,289.0,Gas,Non flood zone,Yes,1171.0
148,20402044,9890,279000,house,1961.0,3.0,150.0,Semi equipped,0.0,,,,3.0,,To renovate,311.0,Fuel oil,Non flood zone,Yes,486.0
149,20401148,8420,274000,apartment,2014.0,2.0,69.0,Hyper equipped,,,,,,,Good,96.0,Gas,Non flood zone,Yes,821.0
151,20400474,4100,179900,house,1950.0,6.0,217.0,Installed,0.0,,28.0,136.0,2.0,0.0,To be done up,253.0,Gas,Non flood zone,Yes,
152,20400770,9600,315000,house,1970.0,3.0,195.0,1,,,20.0,320.0,,,Good,199.0,,Non flood zone,Yes,
154,20399219,2300,210000,apartment,2000.0,2.0,84.0,USA installed,,,,,,,Good,212.0,Gas,Non flood zone,Yes,743.0
155,20399655,1000,395000,apartment,2017.0,2.0,93.0,USA installed,,,,45.0,2.0,,As new,70.0,Gas,Non flood zone,Yes,1032.0
156,20399869,2320,427000,apartment,1994.0,2.0,129.0,,,,,,3.0,,Good,,,Non flood zone,Yes,
157,20398810,1050,695000,apartment,1974.0,3.0,184.0,Hyper equipped,,,11.0,,2.0,0.0,As new,233.0,Electric,Non flood zone,Yes,4657.0
158,20392783,9600,465000,house,1992.0,4.0,324.0,Hyper equipped,0.0,,20.0,340.0,3.0,0.0,Good,170.0,Gas,Non flood zone,Yes,1290.0
159,20396991,2100,175000,apartment,1973.0,2.0,85.0,Not installed,,,,,2.0,,To renovate,455.0,Gas,Non flood zone,Yes,
160,20397631,3581,195000,apartment,1993.0,2.0,100.0,Installed,,,,,3.0,,Good,85.0,Gas,Non flood zone,Yes,
161,20392611,8400,229000,apartment,,2.0,88.0,1,0.0,,5.0,90.0,,,Good,192.0,,Non flood zone,,659.0
162,20392698,9600,239000,apartment,2007.0,2.0,100.0,Installed,,,,,,,Good,92.0,Gas,Non flood zone,Yes,
163,20395986,9070,300000,apartment,1990.0,4.0,110.0,Installed,,,,,,,Good,146.0,,Non flood zone,Yes,619.0
164,20396405,9300,549000,apartment,2000.0,4.0,180.0,Installed,,,15.0,,2.0,,Good,123.0,,Non flood zone,Yes,1199.0
165,20396587,8530,660000,apartment,2019.0,2.0,147.0,Installed,,,,,2.0,,Good,155.0,Gas,,Yes,1074.0
166,20397769,1000,695000,apartment,1932.0,2.0,150.0,Installed,,,,,2.0,,Just renovated,205.0,Gas,Non flood zone,Yes,2000.0
167,20400550,2480,275000,house,1964.0,4.0,164.0,Semi equipped,,1.0,,,4.0,,To renovate,741.0,Gas,Non flood zone,Yes,582.0
168,20402042,9940,400037,house,,4.0,,,0.0,,,,,,As new,,,Non flood zone,,
169,20402038,3590,390000,house,2016.0,3.0,147.0,Hyper equipped,,,62.0,,2.0,,As new,144.0,Gas,,,926.0
170,20402029,3350,345000,house,1980.0,4.0,206.0,1,0.0,,14.0,,,,To be done up,381.0,,Non flood zone,Yes,
171,20402025,8210,370491,apartment,2023.0,2.0,124.0,,,,16.0,,,,Good,,,,Yes,
172,20402024,9940,490858,house,,3.0,,,,,,,,,As new,,,Non flood zone,,
173,20398851,4820,298500,house,2023.0,3.0,137.0,Not installed,,,,124.0,2.0,,As new,73.0,,Non flood zone,,
174,20402020,8210,349518,apartment,2023.0,2.0,119.0,1,,,12.0,,,,Good,,,,Yes,
175,20402016,4850,359423,house,2024.0,3.0,163.0,Not installed,0.0,,40.0,120.0,2.0,0.0,As new,,Gas,Possible flood zone,Yes,
176,20401997,9940,498451,house,,3.0,,,,,,,,,As new,,,Non flood zone,,
178,20401994,9940,431631,house,,3.0,,,,,,,,,As new,,,Non flood zone,,
179,20401987,2910,439000,apartment,1918.0,2.0,218.0,,0.0,,,,,,,292.0,,Non flood zone,Yes,1363.0
180,20401986,4000,259500,apartment,2024.0,,95.0,Installed,0.0,,8.0,,4.0,,,,,,Yes,
181,20401984,4600,220000,house,,3.0,137.0,Installed,0.0,,,,2.0,,,392.0,Gas,,Yes,547.0
182,20401982,4000,174940,apartment,2024.0,1.0,60.0,Installed,0.0,,6.0,,2.0,,,,Gas,,Yes,
183,20401980,3600,197500,apartment,1973.0,2.0,86.0,,,,,,,,Good,261.0,,Non flood zone,,
184,20401979,1670,600000,house,2007.0,4.0,245.0,,,1.0,,,3.0,,As new,233.0,Electric,Non flood zone,Yes,1466.0
185,11203535,1030,435000,house,,4.0,195.0,,,,20.0,,2.0,,Good,,,,,
